eo	en200_default	en200_rho=2	en200_rho=3	en850_default	en850_rho=2	en850_rho=3
fikcion	whim	hing	fico	ficin	ficin	ficin
fikcia	whim	fint	fic	ficin	fice	fici
fikciaj	fima	finc	fic	ficin	ficia	ficia
fikcian	whim	finc	fici	ficind	ficin	ficin
fikciajn	whincaron	fifinng	fincam	ficinals	ficicanto	fifioncaj
revolucii	wheoulgiggo	poriche	borecil	reviviloj	recicolid	rroculice
revolucias	whoulerido	poruldis	proulas	revolise	reciculas	rerolucis
revolucio	herould	wherich	prouche	revoviloj	recoulico	rerouciol
revolucion	cherould	wherinch	borecito	revelion	recolicon	roroucion
revolucia	wherluldo	whericha	promant	revolivaj	reciculad	rroculice
revoluciaj	wheruldoj	whericha	promant	revilosual	recolical	rrouciles
revolucian	hherulldo	porecing	promant	revelional	recacilon	rorulion
revoluciajn	horeculdo	wherichan	promant	reveliojn	recacilon	reroulion
malrideti	wamilterit	parith	maciter	malivertid	maliterid	pralident
malridetas	malderitas	mardits	manthes	malrested	malisteras	pralidest
malridetis	malidertist	marlit	manthes	maltevides	maliteris	pralisted
malridetanta	malartinta	mardint	mamanter	maltedante	maliterant	pralident
malridetantaj	malartinto	mardint	manthera	maltedante	malterintaj	pralianted
malridetantan	malartent	mardint	mamanter	malerentad	malerintant	raladinte
malridetantajn	malartento	mardint	mamanter	malterdant	maldentranton	praligante
generi	here	here	there	geren	ereng	ener
generas	here	dere	nere	geners	genes	nere
generis	heren	iner	nhere	gerens	henge	nere
generado	herando	ghereant	porentay	reneverdan	reandeo	geronade
generadon	gherendon	deringe	porentay	generedand	erendacon	geronante
generacio	wherenco	gigereant	theranco	reventovar	erecionta	gerionge
generacion	wherenco	geingera	theranco	reventaron	erecionta	gerionge
generanta	gherenta	derint	bentare	genteran	erentanta	gregante
generantaj	gherentaj	ingereat	prentay	genterant	erentantal	gregante
generantan	gherentan	derinta	bentare	generental	erentanten	greganten
generantajn	gherentan	ingereant	benteray	genteran	erentantan	gerangante
krei	her	her	he	her	were	re
kreas	mare	her	re	rees	weas	ter
elfo	he	her	we	lef	fel	fel
elfon	he	her	we	elf	feln	fel
halto	wha	hat	hat	halt	halt	hal
halton	thal	than	wat	halt	halth	alten
halti	whit	hat	ha	alit	halt	alt
haltas	wath	last	was	halts	hales	last
redukti	werudto	wude	bure	redite	redut	redudt
reduktas	werustud	duresth	buresta	revestund	recustund	rredudist
honoro	noro	hour	wor	hoon	hoon	hoon
honoron	horon	hour	horn	orond	coong	oron
honori	owhor	hour	wor	orond	hoong	oron
honoras	horo	hour	wor	hons	hoons	oron
frato	far	fat	far	fort	fart	frat
fraton	frat	fart	fart	frant	farto	fart
nebuloj	beuld	when	noul	benulo	cuale	enuly
nebulojn	cecound	choune	ponteral	neblouns	ceanculon	lounges
kreski	herki	wher	res	resid	teris	reks
kreskas	mares	hers	mers	kress	serks	reast
invoki	wion	hin	ino	ivond	nice	ion
invokas	nomas	dins	nis	inves	nices	ions
markis	marki	mars	mar	maris	maris	mars
markita	marit	mart	mat	marite	marte	marti
markitaj	marasto	marith	martas	maristany	mactionta	praciont
markitan	marmantito	marint	mamant	marintad	mactento	parionta
markitajn	marmantoj	marint	mamant	marmentis	macterinoj	parionta
kanti	wat	ant	at	ant	want	ant
kantas	wast	ant	ant	ants	nast	ante
ĉanti	what	ant	wan	ant	hant	ant
ĉantas	want	ant	ant	an'st	antes	ante
feliĉo	whel	whir	fecl	fivel	ficel	feli
feliĉon	whel	fein	feci	liven	felin	felin
alteco	bale	wath	alt	altece	lace	alte
altecon	bale	wath	wale	lecten	calet	alte
baleno	beal	bane	bale	balene	balen	bale
balenon	bale	wean	mane	balen	balen	balen
mia	ma	ma	ma	mia	mia	mia
miaj	ma	miy	ma	mian	miay	mia
mian	ma	man	ma	min	miny	min
miajn	ma	man	ma	mina	mand	man
vero	her	her	her	ver	ver	ver
veron	her	her	her	ver	wern	ver
